@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data
0.357356,0.51119,0.020325,0.02439,0.899143,0.97561,0.288467,214.564787,0.525671,1,2,bad
0.389602,0.190409,0.033133,0.069277,0.952784,0.930723,0.352927,181.825186,0.461472,0.307088,0,bad
0.570478,0.346196,0.04153,0.008197,0.95525,0.991803,0.458277,201.830787,0.491976,1,1,bad
0.658636,0.890536,0,0,1,1,0.658636,653.313711,0.288166,0.066025,4,bad
0.083602,1,0.333333,0,0.75,1,0.052654,357.064653,1,0.188738,4,bad
1,1,0.129464,0.072917,1,0.927083,1,218.574117,1,0.760911,0,bad
0.748636,0.089721,0,0,1,1,0.748636,171.951533,0.078402,0.063871,11,bad
0.122386,0.022875,0,0,1,1,0.233864,143.662071,0.038609,0.108361,9,bad
0.146106,0.376082,0.062037,0.102778,0.81072,0.897222,0.092763,152.864916,0.038612,0.562547,4.266667,bad
0.190589,0.345718,0.066111,0.154444,0.773869,0.845556,0.139322,208.195989,0.048358,0.305972,3.306667,bad
0.024699,1,0,0,0.552764,1,0.012902,63.517475,0.02513,0.013502,10,bad
0.56023,0.022387,0,0,0.75,1,0.596348,166.970939,0.475436,0.118756,20,bad
1,1,0.05625,0.025,1,0.975,1,206.868822,1,1,1,bad
0.02479,1,0,0,0.333333,1,0.013953,78.549348,0.162093,0.584794,5,bad
1,0.143683,0.333333,0.333333,1,0.666667,1,232.363324,1,0.280408,0,bad
0.154583,0.421872,0,0.1,0.843882,0.9,0.064116,74.956822,0.596468,0.046409,9.4,bad
0.668363,0.571392,0.333333,0,1,1,1,182.773966,0.523989,0.246577,2,bad
1,0.780854,0.5,0,0.666667,1,0.808179,165.238056,1,0.116807,7,bad
0.011271,0.567639,0,0,0.333333,1,0.005685,112.805142,0.046722,1,3,bad
